(((20, 0.001, 0.0005), 8870, 3.8334427), 99.96812343597412, <tf.Tensor: shape=(), dtype=float32, numpy=29.223022>)
(((50, 0.001, 0.0005), 8840, 3.8334384), 99.96818900108337, <tf.Tensor: shape=(), dtype=float32, numpy=29.219994>)
(((60, 0.001, 0.0005), 9160, 3.8334498), 99.96799230575562, <tf.Tensor: shape=(), dtype=float32, numpy=29.223629>)
(((80, 0.001, 0.0005), 8940, 3.8334503), 99.96805787086487, <tf.Tensor: shape=(), dtype=float32, numpy=29.224236>)
(((100, 0.001, 0.0005), 9260, 3.8334599), 99.96812343597412, <tf.Tensor: shape=(), dtype=float32, numpy=29.224236>)
(((150, 0.001, 0.0005), 9240, 3.833456), 99.96812343597412, <tf.Tensor: shape=(), dtype=float32, numpy=29.222416>)
(((20, 0.001, 0.001), 7920, 5.9764557), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.066048>)
(((50, 0.001, 0.001), 7840, 5.9764585), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.066048>)
(((60, 0.001, 0.001), 7810, 5.976466), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.06908>)
(((80, 0.001, 0.001), 7910, 5.976465), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.06908>)
(((100, 0.001, 0.001), 8190, 5.9764585), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.066048>)
(((150, 0.001, 0.001), 7960, 5.9764576), 99.97313618659973, <tf.Tensor: shape=(), dtype=float32, numpy=44.06908>)
(((20, 0.001, 0.003), 7110, 11.081993), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.92789>)
(((50, 0.001, 0.003), 7320, 11.081984), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.91759>)
(((60, 0.001, 0.003), 8190, 11.082006), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.913345>)
(((80, 0.001, 0.003), 7530, 11.081991), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.91516>)
(((100, 0.001, 0.003), 7430, 11.081999), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.91759>)
(((150, 0.001, 0.003), 7600, 11.081985), 99.99871253967285, <tf.Tensor: shape=(), dtype=float32, numpy=97.90788>)
