(((20, 0.0003, 0.0001), 47630, 1.2110626), 97.27626442909241)
(((50, 0.0003, 0.0001), 40060, 1.2106827), 97.33179211616516)
(((60, 0.0003, 0.0001), 40830, 1.2092217), 96.75632119178772)
(((80, 0.0003, 0.0001), 37220, 1.2096803), 96.27905488014221)
(((100, 0.0003, 0.0001), 35300, 1.2115091), 96.58851623535156)
(((150, 0.0003, 0.0001), 36740, 1.2139256), 96.55612111091614)
(((20, 0.0003, 0.0003), 21810, 2.068268), 96.37758135795593)
(((50, 0.0003, 0.0003), 21890, 2.0711443), 96.25669121742249)
(((60, 0.0003, 0.0003), 20240, 2.0698433), 96.79970145225525)
(((80, 0.0003, 0.0003), 21520, 2.0698214), 96.16703391075134)
(((100, 0.0003, 0.0003), 21280, 2.070601), 96.07390761375427)
(((150, 0.0003, 0.0003), 20970, 2.0740857), 95.89189887046814)
(((20, 0.0003, 0.001), 18410, 4.4820967), 91.57807230949402)
(((50, 0.0003, 0.001), 16560, 4.48359), 91.10633134841919)
(((60, 0.0003, 0.001), 16710, 4.483035), 91.29078984260559)
(((80, 0.0003, 0.001), 17450, 4.4855847), 90.5038058757782)
(((100, 0.0003, 0.001), 16540, 4.4903903), 90.24640917778015)
(((150, 0.0003, 0.001), 16890, 4.4905896), 90.3780996799469)
(((20, 0.0003, 0.003), 14400, 13.7112875), 50.029951333999634)
(((50, 0.0003, 0.003), 14760, 13.715616), 49.98193979263306)
(((60, 0.0003, 0.003), 14900, 13.71636), 50.02082586288452)
(((80, 0.0003, 0.003), 14360, 13.729), 50.03007650375366)
(((100, 0.0003, 0.003), 14590, 13.732987), 50.020116567611694)
(((150, 0.0003, 0.003), 14800, 13.744748), 49.99164640903473)
(((20, 0.0003, 0.005), 13600, 13.712161), 50.1061737537384)
(((50, 0.0003, 0.005), 14010, 13.728118), 50.047945976257324)
(((60, 0.0003, 0.005), 14490, 13.736377), 49.9658077955246)
(((80, 0.0003, 0.005), 14310, 13.740356), 50.028473138809204)
(((100, 0.0003, 0.005), 14200, 13.748721), 49.964845180511475)
(((150, 0.0003, 0.005), 14420, 13.786375), 50.0208854675293)
(((20, 0.001, 0.0001), 16370, 1.2176678), 97.8451132774353)
(((50, 0.001, 0.0001), 15400, 1.2098081), 96.50271534919739)
(((60, 0.001, 0.0001), 16320, 1.2108642), 96.58588171005249)
(((80, 0.001, 0.0001), 15030, 1.2140255), 96.58382534980774)
(((100, 0.001, 0.0001), 15800, 1.2098293), 96.42102718353271)
(((150, 0.001, 0.0001), 16930, 1.2120597), 96.6077983379364)
(((20, 0.001, 0.0003), 9220, 2.0683775), 96.32494449615479)
(((50, 0.001, 0.0003), 9020, 2.0711167), 96.74289226531982)
(((60, 0.001, 0.0003), 9060, 2.0721297), 96.31723165512085)
(((80, 0.001, 0.0003), 8120, 2.0731423), 96.07468247413635)
(((100, 0.001, 0.0003), 8760, 2.0751684), 96.37725949287415)
(((150, 0.001, 0.0003), 8810, 2.07955), 96.2556004524231)
(((20, 0.001, 0.001), 7030, 4.48306), 89.72119688987732)
(((50, 0.001, 0.001), 6930, 4.4917536), 90.49718976020813)
